Timestamp,State,City/District,Public service,Experience,Tell us about your experience,Urgency,Issue date,Language,Would you like the concerned authority to take action?
2026-09-07 00:00:00,Uttarakhand,Haridwar,Electricity,Good,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The electricity voltage near Haridwar is unstable and appliances are being affected. This needs attention from the concerned department.,High,2026-08-08,Kannada,Yes
2025-03-23 17:15:00,Meghalaya,Shillong,Healthcare,Very Good,The government hospital near Shillong needs better availability of essential medicines. I request the concerned authority to take action.,Critical,2025-02-28,English,Yes
2026-02-21 11:46:00,Assam,Dibrugarh,Public Transport,Very Poor,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. The bus stop near Dibrugarh needs better cleanliness and maintenance. Please provide an update on the issue.,High,2026-02-20,Telugu,Yes
2025-11-11 10:12:00,Tripura,Dharmanagar,Other Public Services,Good,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். The complaint handling process in Dharmanagar could be faster and easier to track.,Medium,2025-10-02,Tamil,Yes
2026-09-07 00:00:00,West Bengal,Siliguri,Other Public Services,Average,A public service issue near Siliguri has remained unresolved for several days. This needs attention from the concerned department.,High,2026-09-01,English,Already resolved
2026-08-31 19:58:00,Himachal Pradesh,Shimla,Water Supply,Average,कृपया इस समस्या पर ध्यान दें। A water pipeline appears to be leaking near Shimla and needs repair. This needs attention from the concerned department.,Medium,2026-08-10,Hindi,Already resolved
2025-12-04 05:07:00,Kerala,Thrissur,Other Public Services,Poor,The civic facility near Thrissur needs better maintenance. This needs attention from the concerned department.,High,2025-11-06,English,Yes
2025-05-24 01:42:00,Himachal Pradesh,Dharamshala,Sanitation & Waste,Good,The area around Dharamshala needs more regular cleaning and waste collection. I hope the issue can be resolved soon.,Medium,2025-05-06,English,Yes
2025-11-26 22:51:00,Madhya Pradesh,Indore,Water Supply,Very Good,There has been an irregular water supply in the Indore area for the past few days. Please provide an update on the issue.,High,2025-11-13,English,Yes
2026-08-11 21:46:00,Manipur,Bishnupur,Police & Public Safety,Poor,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The police response near Bishnupur was delayed and the issue needs attention. I hope the issue can be resolved soon.,Critical,2026-07-01,Kannada,Yes
2026-08-11 10:10:00,Tamil Nadu,Coimbatore,Water Supply,Very Good,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The water supplied in Coimbatore sometimes has an unusual smell and should be checked. This needs attention from the concerned department.,Low,2026-07-25,Kannada,Yes
2026-05-29 03:31:00,Kerala,Thrissur,Government Documents,Good,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. The certificate service near Thrissur requires too many visits and could be made easier. I request the concerned authority to take action.,Medium,2026-05-26,Telugu,Yes
2026-04-30 14:08:00,Arunachal Pradesh,Pasighat,Government Documents,Average,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The online government service for residents of Pasighat needs better reliability. This needs attention from the concerned department.,Medium,2026-04-01,Kannada,Yes
2025-03-29 22:22:00,Uttarakhand,Haridwar,Electricity,Average,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. The electricity voltage near Haridwar is unstable and appliances are being affected.,Low,2025-02-17,Telugu,Yes
2025-02-18 00:58:00,Lakshadweep,Kavaratti,Roads & Traffic,Very Good,कृपया इस समस्या पर ध्यान दें। Traffic congestion around Kavaratti is getting worse and better traffic management is needed. I request the concerned authority to take action.,Medium,2025-02-16,Hindi,Yes
2026-03-13 19:19:00,Himachal Pradesh,Shimla,Healthcare,Poor,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. The government hospital near Shimla needs better availability of essential medicines.,Medium,2026-03-12,Telugu,Yes
2025-02-17 03:12:00,Haryana,Faridabad,Education,Average,Parents in Faridabad have reported delays in receiving information from the school. This needs attention from the concerned department.,Medium,2025-02-05,English,Already resolved
2026-05-27 11:08:00,Jharkhand,Bokaro,Water Supply,Very Good,कृपया इस समस्या पर ध्यान दें। A water pipeline appears to be leaking near Bokaro and needs repair.,Low,2026-05-12,Hindi,Yes
2025-10-04 19:12:00,Tamil Nadu,Coimbatore,Electricity,Poor,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The electricity voltage near Coimbatore is unstable and appliances are being affected. This needs attention from the concerned department.,Low,2025-08-21,Kannada,Already resolved
2025-03-07 12:05:00,Ladakh,Leh,Sanitation & Waste,Poor,"Garbage has not been collected regularly near Leh, and waste is accumulating. Please provide an update on the issue.",Low,2025-02-05,English,Yes
2025-06-24 12:02:00,Assam,Dibrugarh,Education,Average,The public school near Dibrugarh needs improvements to basic facilities. Please look into this issue.,High,2025-06-12,English,Yes
2026-09-07 00:00:00,Jharkhand,Bokaro,Public Transport,Average,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். Public transport near Bokaro is overcrowded during morning and evening peak hours. Please provide an update on the issue.,High,2026-07-26,Tamil,Yes
2025-10-04 04:13:00,West Bengal,Siliguri,Government Documents,Good,The certificate service near Siliguri requires too many visits and could be made easier.,High,2025-09-26,English,Yes
2025-11-12 04:22:00,Jharkhand,Jamshedpur,Water Supply,Very Good,कृपया इस समस्या पर ध्यान दें। The water supplied in Jamshedpur sometimes has an unusual smell and should be checked. I request the concerned authority to take action.,Medium,2025-10-27,Hindi,No
2025-12-25 11:41:00,Kerala,Kozhikode,Education,Very Poor,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. The public school near Kozhikode needs improvements to basic facilities.,Low,2025-12-12,Telugu,Already resolved
2025-03-15 12:43:00,Meghalaya,Nongpoh,Police & Public Safety,Good,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. The public safety issue reported near Nongpoh needs quicker follow-up. I request the concerned authority to take action.,Low,2025-02-26,Telugu,Yes
2026-08-19 04:00:00,Andhra Pradesh,Tirupati,Sanitation & Waste,Poor,"Garbage has not been collected regularly near Tirupati, and waste is accumulating. Please provide an update on the issue.",Medium,2026-07-30,English,Yes
2026-06-11 11:24:00,Kerala,Thrissur,Roads & Traffic,Average,The road near Thrissur has potholes and becomes difficult to use during peak hours. This needs attention from the concerned department.,Medium,2026-04-30,English,Yes
2025-04-02 02:27:00,Ladakh,Leh,Sanitation & Waste,Poor,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். The area around Leh needs more regular cleaning and waste collection. I hope the issue can be resolved soon.,Medium,2025-03-10,Tamil,Already resolved
2026-02-26 06:37:00,Sikkim,Namchi,Education,Poor,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The educational facility near Namchi needs better maintenance and support services. Please provide an update on the issue.,Medium,2026-01-20,Kannada,Yes
2026-04-01 21:00:00,Tamil Nadu,Coimbatore,Roads & Traffic,Average,The road near Coimbatore has potholes and becomes difficult to use during peak hours. Please provide an update on the issue.,Low,2026-03-22,English,Yes
2026-04-25 12:29:00,Gujarat,Surat,Public Transport,Poor,Public transport services near Surat should be more frequent during peak hours. I hope the issue can be resolved soon.,Low,2026-03-17,English,Yes
2025-07-17 14:41:00,Dadra and Nagar Haveli and Daman and Diu,Silvassa,Electricity,Very Poor,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. There appears to be an issue with the electricity bill for the Silvassa area. Please look into this issue.,Medium,2025-07-09,Telugu,Yes
2026-01-11 20:59:00,Jammu and Kashmir,Jammu,Other Public Services,Very Good,The civic facility near Jammu needs better maintenance.,Medium,2025-12-27,English,Yes
2025-03-05 21:46:00,Punjab,Ludhiana,Public Transport,Average,The bus stop near Ludhiana needs better cleanliness and maintenance. Please look into this issue.,Medium,2025-02-01,English,Yes
2026-06-06 08:18:00,Jharkhand,Ranchi,Water Supply,Poor,"దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. Residents near Ranchi are facing water shortages, especially in the morning.",Low,2026-05-13,Telugu,No
2026-03-01 09:34:00,Odisha,Berhampur,Roads & Traffic,Good,"Vehicles are frequently parked on the road near Berhampur, causing unnecessary congestion. This needs attention from the concerned department.",Low,2026-02-10,English,Yes
2026-01-18 22:02:00,Delhi,East Delhi,Healthcare,Very Good,"தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். The healthcare service near East Delhi was helpful, but staffing appears to be limited.",Low,2025-12-22,Tamil,Yes
2026-09-07 00:00:00,Assam,Guwahati,Education,Poor,Parents in Guwahati have reported delays in receiving information from the school. Please provide an update on the issue.,Medium,2026-08-26,English,Yes
2026-02-08 10:13:00,Delhi,New Delhi,Public Transport,Very Good,Buses on the route near New Delhi are irregular and commuters are waiting for a long time. I hope the issue can be resolved soon.,Medium,2026-01-25,English,Yes
2026-04-12 06:27:00,Jammu and Kashmir,Anantnag,Roads & Traffic,Poor,"Street lights are not working properly near Anantnag, making the road unsafe after dark. Please look into this issue.",Medium,2026-02-28,English,Yes
2026-03-01 09:26:00,Rajasthan,Udaipur,Government Documents,Average,कृपया इस समस्या पर ध्यान दें। The online government service for residents of Udaipur needs better reliability. This needs attention from the concerned department.,Medium,2026-02-07,Hindi,Yes
2025-05-30 18:59:00,Mizoram,Lunglei,Electricity,Poor,The electricity voltage near Lunglei is unstable and appliances are being affected.,Medium,2025-05-05,English,Already resolved
2026-03-12 00:33:00,Meghalaya,Nongpoh,Healthcare,Poor,The government hospital near Nongpoh needs better availability of essential medicines. Please look into this issue.,Medium,2026-02-24,English,Already resolved
2026-09-07 00:00:00,Sikkim,Gyalshing,Education,Poor,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The educational facility near Gyalshing needs better maintenance and support services. I request the concerned authority to take action.,High,2026-08-13,Kannada,Yes
2025-03-16 10:19:00,Gujarat,Ahmedabad,Other Public Services,Average,The complaint handling process in Ahmedabad could be faster and easier to track. Please provide an update on the issue.,Low,2025-02-14,English,Already resolved
2025-01-13 09:17:00,Telangana,Nizamabad,Police & Public Safety,Good,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். The public safety issue reported near Nizamabad needs quicker follow-up.,Low,2025-01-11,Tamil,Yes
2026-01-06 04:49:00,Tripura,Agartala,Water Supply,Good,There has been an irregular water supply in the Agartala area for the past few days. Please provide an update on the issue.,Low,2025-12-31,English,Yes
2026-04-28 17:27:00,Sikkim,Namchi,Sanitation & Waste,Average,"Garbage has not been collected regularly near Namchi, and waste is accumulating.",Medium,2026-04-28,English,Yes
2026-03-07 07:05:00,Maharashtra,Mumbai,Healthcare,Good,The waiting time at the public health facility near Mumbai is very long. I hope the issue can be resolved soon.,Medium,2026-02-11,English,No
2025-07-23 23:08:00,Andaman and Nicobar Islands,Port Blair,Roads & Traffic,Very Good,The road near Port Blair has potholes and becomes difficult to use during peak hours.,Medium,2025-06-11,English,Already resolved
2025-11-19 21:28:00,Madhya Pradesh,Jabalpur,Police & Public Safety,Poor,The public safety issue reported near Jabalpur needs quicker follow-up. Please provide an update on the issue.,Medium,2025-11-05,English,Yes
2025-06-30 08:24:00,Lakshadweep,Kavaratti,Roads & Traffic,Average,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. The road near Kavaratti has potholes and becomes difficult to use during peak hours. Please look into this issue.,High,2025-05-25,Malayalam,Yes
2025-11-26 04:14:00,Puducherry,Oulgaret,Healthcare,Very Poor,"ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. The healthcare service near Oulgaret was helpful, but staffing appears to be limited.",Medium,2025-11-23,Malayalam,Yes
2025-12-21 06:12:00,Karnataka,Mysuru,Government Documents,Average,The certificate service near Mysuru requires too many visits and could be made easier. I request the concerned authority to take action.,Medium,2025-12-11,English,Yes
2025-07-29 07:01:00,Manipur,Imphal,Water Supply,Very Poor,कृपया इस समस्या पर ध्यान दें। The water supplied in Imphal sometimes has an unusual smell and should be checked. Please provide an update on the issue.,Medium,2025-07-29,Hindi,Yes
2026-01-09 14:54:00,Jammu and Kashmir,Jammu,Public Transport,Good,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. Public transport services near Jammu should be more frequent during peak hours. Please provide an update on the issue.,Low,2026-01-09,Telugu,No
2025-03-04 05:58:00,Tamil Nadu,Madurai,Electricity,Very Good,The electricity voltage near Madurai is unstable and appliances are being affected.,Low,2025-02-27,English,Yes
2025-05-17 04:34:00,Andaman and Nicobar Islands,Port Blair,Police & Public Safety,Poor,Residents near Port Blair are concerned about safety after dark. I hope the issue can be resolved soon.,Low,2025-05-15,English,Already resolved
2025-03-18 01:28:00,Arunachal Pradesh,Itanagar,Police & Public Safety,Good,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The public safety issue reported near Itanagar needs quicker follow-up.,Critical,2025-02-23,Kannada,Yes
2026-06-12 08:26:00,Mizoram,Champhai,Government Documents,Average,My government document application from Champhai has been delayed beyond the expected time. I hope the issue can be resolved soon.,High,2026-05-23,English,Already resolved
2026-04-06 21:30:00,Kerala,Kozhikode,Roads & Traffic,Average,Traffic congestion around Kozhikode is getting worse and better traffic management is needed. Please look into this issue.,Medium,2026-03-28,English,Already resolved
2026-02-24 17:18:00,Kerala,Kochi,Sanitation & Waste,Average,कृपया इस समस्या पर ध्यान दें। The area around Kochi needs more regular cleaning and waste collection.,High,2026-01-30,Hindi,No
2025-07-16 04:05:00,Jharkhand,Jamshedpur,Police & Public Safety,Poor,कृपया इस समस्या पर ध्यान दें। The police response near Jamshedpur was delayed and the issue needs attention.,Low,2025-07-10,Hindi,Already resolved
2025-04-04 02:29:00,Haryana,Hisar,Government Documents,Very Poor,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. My government document application from Hisar has been delayed beyond the expected time.,High,2025-02-21,Malayalam,Yes
2026-09-07 00:00:00,Puducherry,Oulgaret,Roads & Traffic,Good,"कृपया इस समस्या पर ध्यान दें। Street lights are not working properly near Oulgaret, making the road unsafe after dark. This needs attention from the concerned department.",Critical,2026-08-25,Hindi,Yes
2025-10-03 07:35:00,Haryana,Hisar,Public Transport,Poor,Public transport services near Hisar should be more frequent during peak hours. Please look into this issue.,Low,2025-09-18,English,Yes
2025-10-31 20:24:00,Telangana,Nizamabad,Water Supply,Poor,The water supplied in Nizamabad sometimes has an unusual smell and should be checked.,Medium,2025-09-24,English,Yes
2025-02-07 16:53:00,Andhra Pradesh,Vijayawada,Electricity,Very Good,There appears to be an issue with the electricity bill for the Vijayawada area. I hope the issue can be resolved soon.,Medium,2025-01-19,English,Already resolved
2026-02-23 21:22:00,Sikkim,Gangtok,Healthcare,Average,The waiting time at the public health facility near Gangtok is very long. This needs attention from the concerned department.,High,2026-01-22,English,Yes
2025-08-13 19:47:00,Madhya Pradesh,Gwalior,Police & Public Safety,Poor,Residents near Gwalior are concerned about safety after dark. This needs attention from the concerned department.,High,2025-08-03,English,Yes
2025-06-08 13:05:00,Kerala,Thrissur,Police & Public Safety,Average,The public safety issue reported near Thrissur needs quicker follow-up. Please look into this issue.,High,2025-06-07,English,Yes
2025-10-27 02:20:00,Jharkhand,Jamshedpur,Roads & Traffic,Good,"ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. Vehicles are frequently parked on the road near Jamshedpur, causing unnecessary congestion. I request the concerned authority to take action.",Medium,2025-10-20,Malayalam,Yes
2025-07-18 13:11:00,Rajasthan,Udaipur,Other Public Services,Average,The complaint handling process in Udaipur could be faster and easier to track. I request the concerned authority to take action.,Medium,2025-06-07,English,No
2026-08-09 03:12:00,Assam,Jorhat,Education,Very Poor,कृपया इस समस्या पर ध्यान दें। Students in Jorhat are facing delays in scholarship-related services.,Medium,2026-07-19,Hindi,Yes
2025-10-02 05:04:00,Manipur,Bishnupur,Government Documents,Good,My government document application from Bishnupur has been delayed beyond the expected time. I request the concerned authority to take action.,Low,2025-08-18,English,Yes
2026-02-20 04:55:00,Gujarat,Surat,Public Transport,Average,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. Public transport services near Surat should be more frequent during peak hours. I hope the issue can be resolved soon.,Medium,2026-01-17,Kannada,Already resolved
2025-10-31 17:03:00,Puducherry,Oulgaret,Healthcare,Very Good,कृपया इस समस्या पर ध्यान दें। Residents in Oulgaret need easier access to primary healthcare services. This needs attention from the concerned department.,Low,2025-09-26,Hindi,Yes
2026-06-22 20:33:00,Himachal Pradesh,Shimla,Roads & Traffic,Good,"ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. Vehicles are frequently parked on the road near Shimla, causing unnecessary congestion. This needs attention from the concerned department.",Low,2026-05-25,Malayalam,Already resolved
2025-06-09 13:46:00,Dadra and Nagar Haveli and Daman and Diu,Silvassa,Education,Average,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. Students in Silvassa are facing delays in scholarship-related services. I request the concerned authority to take action.,Medium,2025-05-02,Telugu,No
2025-03-09 09:10:00,Haryana,Faridabad,Education,Good,The educational facility near Faridabad needs better maintenance and support services. Please look into this issue.,Low,2025-03-07,English,Yes
2025-05-03 19:28:00,Odisha,Berhampur,Government Documents,Very Good,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. The certificate service near Berhampur requires too many visits and could be made easier.,Medium,2025-04-03,Telugu,Already resolved
2025-05-29 00:03:00,Uttarakhand,Haldwani,Other Public Services,Good,The civic facility near Haldwani needs better maintenance.,Low,2025-04-24,English,No
2026-01-04 23:10:00,West Bengal,Durgapur,Roads & Traffic,Good,"ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. Street lights are not working properly near Durgapur, making the road unsafe after dark. Please provide an update on the issue.",High,2025-12-23,Kannada,Yes
2026-07-12 17:45:00,Madhya Pradesh,Bhopal,Roads & Traffic,Poor,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். The road near Bhopal has potholes and becomes difficult to use during peak hours.,Low,2026-06-27,Tamil,Yes
2025-03-08 14:25:00,Andaman and Nicobar Islands,Port Blair,Education,Good,कृपया इस समस्या पर ध्यान दें। Parents in Port Blair have reported delays in receiving information from the school. Please provide an update on the issue.,Medium,2025-03-05,Hindi,Yes
2026-07-07 12:43:00,West Bengal,Howrah,Electricity,Poor,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. The electricity voltage near Howrah is unstable and appliances are being affected. Please provide an update on the issue.,Medium,2026-05-29,Telugu,Already resolved
2026-02-28 12:29:00,Uttarakhand,Dehradun,Government Documents,Poor,कृपया इस समस्या पर ध्यान दें। My government document application from Dehradun has been delayed beyond the expected time. I hope the issue can be resolved soon.,Low,2026-02-17,Hindi,Yes
2025-08-08 22:38:00,Punjab,Chandigarh,Roads & Traffic,Very Good,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. Traffic congestion around Chandigarh is getting worse and better traffic management is needed. I hope the issue can be resolved soon.,Low,2025-07-25,Kannada,Already resolved
2026-07-26 10:45:00,Chandigarh,Chandigarh,Sanitation & Waste,Very Good,"कृपया इस समस्या पर ध्यान दें। Garbage has not been collected regularly near Chandigarh, and waste is accumulating. Please provide an update on the issue.",Medium,2026-06-26,Hindi,Already resolved
2026-08-29 00:40:00,Puducherry,Oulgaret,Public Transport,Good,कृपया इस समस्या पर ध्यान दें। Buses on the route near Oulgaret are irregular and commuters are waiting for a long time.,Medium,2026-08-19,Hindi,Yes
2026-05-19 22:07:00,Nagaland,Kohima,Public Transport,Average,The bus stop near Kohima needs better cleanliness and maintenance.,Medium,2026-04-17,English,Yes
2025-03-04 23:09:00,Uttarakhand,Haridwar,Government Documents,Good,The online government service for residents of Haridwar needs better reliability. Please provide an update on the issue.,Medium,2025-01-18,English,No
2026-04-17 09:39:00,Lakshadweep,Kavaratti,Water Supply,Average,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். The water supplied in Kavaratti sometimes has an unusual smell and should be checked. I request the concerned authority to take action.,Medium,2026-04-04,Tamil,Yes
2025-06-26 19:01:00,Nagaland,Mokokchung,Education,Average,Parents in Mokokchung have reported delays in receiving information from the school. Please provide an update on the issue.,Low,2025-05-20,English,Yes
2026-03-13 00:35:00,Jharkhand,Bokaro,Education,Average,The public school near Bokaro needs improvements to basic facilities. I hope the issue can be resolved soon.,Critical,2026-02-10,English,Yes
2026-03-09 02:32:00,Jammu and Kashmir,Jammu,Police & Public Safety,Poor,कृपया इस समस्या पर ध्यान दें। Traffic enforcement around Jammu should be improved during busy hours.,Medium,2026-02-20,Hindi,Yes
2025-12-31 12:46:00,Chandigarh,Chandigarh,Public Transport,Average,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். Buses on the route near Chandigarh are irregular and commuters are waiting for a long time.,Low,2025-12-18,Tamil,Yes
2026-07-07 00:20:00,Odisha,Bhubaneswar,Healthcare,Poor,कृपया इस समस्या पर ध्यान दें। The government hospital near Bhubaneswar needs better availability of essential medicines. Please look into this issue.,Low,2026-06-12,Hindi,Yes
2025-03-05 17:11:00,Karnataka,Hubballi,Water Supply,Very Good,A water pipeline appears to be leaking near Hubballi and needs repair. This needs attention from the concerned department.,Low,2025-03-04,English,Yes
2025-08-25 01:21:00,Tamil Nadu,Tiruchirappalli,Public Transport,Good,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. Public transport services near Tiruchirappalli should be more frequent during peak hours. I hope the issue can be resolved soon.,Low,2025-07-14,Telugu,Yes
2025-05-24 11:26:00,Andaman and Nicobar Islands,Port Blair,Other Public Services,Average,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். The civic facility near Port Blair needs better maintenance. Please provide an update on the issue.,Medium,2025-04-19,Tamil,No
2026-02-23 18:56:00,Telangana,Hyderabad,Roads & Traffic,Very Poor,"Street lights are not working properly near Hyderabad, making the road unsafe after dark. Please look into this issue.",Low,2026-02-17,English,Yes
2026-08-20 09:27:00,Tamil Nadu,Salem,Healthcare,Very Poor,कृपया इस समस्या पर ध्यान दें। Residents in Salem need easier access to primary healthcare services. I hope the issue can be resolved soon.,Medium,2026-07-09,Hindi,Already resolved
2025-02-08 20:48:00,Ladakh,Leh,Public Transport,Average,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. Public transport near Leh is overcrowded during morning and evening peak hours. Please look into this issue.,Low,2025-02-01,Telugu,Already resolved
2026-09-04 12:30:00,Bihar,Gaya,Healthcare,Very Good,"ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. The healthcare service near Gaya was helpful, but staffing appears to be limited. Please provide an update on the issue.",Medium,2026-09-02,Malayalam,Yes
2025-05-17 10:58:00,Andaman and Nicobar Islands,Port Blair,Sanitation & Waste,Poor,The area around Port Blair needs more regular cleaning and waste collection. Please provide an update on the issue.,Critical,2025-05-10,English,No
2025-06-15 00:21:00,Ladakh,Leh,Sanitation & Waste,Very Good,The drainage near Leh needs cleaning because water is stagnating after rain. This needs attention from the concerned department.,High,2025-05-08,English,Already resolved
2025-12-23 19:14:00,Delhi,New Delhi,Healthcare,Average,Residents in New Delhi need easier access to primary healthcare services. Please look into this issue.,Medium,2025-11-30,English,Yes
2025-12-30 06:06:00,Manipur,Bishnupur,Electricity,Poor,The electricity voltage near Bishnupur is unstable and appliances are being affected. I hope the issue can be resolved soon.,Medium,2025-12-08,English,Yes
2025-04-25 15:15:00,Bihar,Patna,Electricity,Average,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. The electricity voltage near Patna is unstable and appliances are being affected. Please provide an update on the issue.,Medium,2025-03-11,Malayalam,Already resolved
2026-01-25 10:45:00,Puducherry,Puducherry,Education,Good,कृपया इस समस्या पर ध्यान दें। The educational facility near Puducherry needs better maintenance and support services. I request the concerned authority to take action.,Medium,2025-12-21,Hindi,Yes
2026-02-27 16:20:00,Kerala,Kozhikode,Water Supply,Good,"ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. Residents near Kozhikode are facing water shortages, especially in the morning. Please look into this issue.",Medium,2026-02-20,Kannada,Yes
2025-12-20 02:16:00,Delhi,New Delhi,Roads & Traffic,Poor,"దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. Vehicles are frequently parked on the road near New Delhi, causing unnecessary congestion. This needs attention from the concerned department.",Low,2025-11-12,Telugu,Yes
2026-07-14 03:53:00,Ladakh,Leh,Sanitation & Waste,Average,Waste disposal near Leh is creating an unpleasant environment for residents. I hope the issue can be resolved soon.,Medium,2026-06-26,English,Yes
2025-09-25 16:34:00,Punjab,Jalandhar,Electricity,Poor,कृपया इस समस्या पर ध्यान दें। Power cuts in the Jalandhar area are frequent and are affecting daily work. Please look into this issue.,High,2025-08-25,Hindi,Yes
2026-07-26 05:27:00,Dadra and Nagar Haveli and Daman and Diu,Daman,Education,Very Poor,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The public school near Daman needs improvements to basic facilities. I hope the issue can be resolved soon.,High,2026-06-18,Kannada,Yes
2025-01-28 17:27:00,Lakshadweep,Kavaratti,Government Documents,Very Poor,The certificate service near Kavaratti requires too many visits and could be made easier. Please look into this issue.,High,2025-01-10,English,Yes
2025-12-16 15:51:00,Rajasthan,Jodhpur,Public Transport,Average,Buses on the route near Jodhpur are irregular and commuters are waiting for a long time. I hope the issue can be resolved soon.,Medium,2025-12-02,English,Yes
2025-04-30 14:47:00,Gujarat,Vadodara,Education,Good,Parents in Vadodara have reported delays in receiving information from the school.,Low,2025-03-31,English,Yes
2026-08-29 12:40:00,Uttar Pradesh,Prayagraj,Public Transport,Very Good,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். Public transport services near Prayagraj should be more frequent during peak hours. This needs attention from the concerned department.,Low,2026-08-13,Tamil,Yes
2026-08-16 17:57:00,Bihar,Patna,Roads & Traffic,Very Poor,कृपया इस समस्या पर ध्यान दें। Traffic congestion around Patna is getting worse and better traffic management is needed.,Medium,2026-08-15,Hindi,Yes
2025-11-01 20:18:00,Sikkim,Gangtok,Public Transport,Good,Public transport services near Gangtok should be more frequent during peak hours. I hope the issue can be resolved soon.,Medium,2025-10-22,English,Yes
2026-09-07 00:00:00,Dadra and Nagar Haveli and Daman and Diu,Silvassa,Other Public Services,Good,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The complaint handling process in Silvassa could be faster and easier to track.,High,2026-08-20,Kannada,No
2026-09-02 05:09:00,Puducherry,Oulgaret,Other Public Services,Average,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. A public service issue near Oulgaret has remained unresolved for several days. I hope the issue can be resolved soon.,Medium,2026-08-30,Malayalam,No
2025-06-09 16:34:00,Jammu and Kashmir,Anantnag,Government Documents,Average,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. The certificate service near Anantnag requires too many visits and could be made easier. Please provide an update on the issue.,High,2025-05-21,Telugu,Already resolved
